103.696499551249,1.35010882787965,1,kml_1,,4,No. of Dengue Cases : 4,No. of Dengue Cases : 4,78C74AE675CADAA6,20200902103115
103.7054851578,1.35010932005835,2,kml_2,,2,No. of Dengue Cases : 2,No. of Dengue Cases : 2,1512824C63982AF5,20200902103115
103.807921937277,1.28138085949175,3,kml_3,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,F3924CFC5702EFA4,20200902103115
103.784559458253,1.30670272550984,4,kml_4,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,69AD80E30E36217B,20200902103115
103.741427884407,1.34287604827086,5,kml_5,,3,No. of Dengue Cases : 3,No. of Dengue Cases : 3,2CF3A6C9B8536ADF,20200902103115
103.75580483528,1.34287654967491,6,kml_6,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,2DA8AACFE368F302,20200902103115
103.69290562028,1.3446824513246,7,kml_7,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,AC30123B0D8C4593,20200902103115
103.700093990147,1.34649158081248,8,kml_8,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,5F71318CF43D1546,20200902103115
103.703688036229,1.35010922429599,9,kml_9,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,6E8916FD23864DA3,20200902103115
103.703687940353,1.35191794849189,10,kml_10,,2,No. of Dengue Cases : 2,No. of Dengue Cases : 2,EF1BDE4ECBEAB646,20200902103115
103.703687844349,1.35372667266073,11,kml_11,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,645D6E996553003D,20200902103115
103.748615858303,1.35734612465168,12,kml_12,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,942B906CD9E887E1,20200902103115
103.748615669092,1.36277230484549,13,kml_13,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,F5F4A82F2818A670,20200902103115
103.74502093897,1.37543325989365,14,kml_14,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,63A1171FFDFB73ED,20200902103115
103.755805569643,1.3193630923665,15,kml_15,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,729C1C3EEDEBD546,20200902103115
103.768385890892,1.29584998660069,16,kml_16,,2,No. of Dengue Cases : 2,No. of Dengue Cases : 2,C8804CA14427CAD1,20200902103115
103.755805457509,1.3229805476294,17,kml_17,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,C3B7B1E29C6721EF,20200902103115
103.775573150573,1.34287710016891,18,kml_18,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,BE60C1B1DD9F0AFF,20200902103115
103.68931096193,1.351917133181,19,kml_19,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,D6BED4F2C51B9BBC,20200902103115
103.759398636684,1.3573464805686,20,kml_20,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,4EBAC65744F4AAC1,20200902103115
103.782762327959,1.30851141853697,21,kml_21,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,2C1A458FE28D0CB0,20200901171417
103.766588852299,1.29404121114947,22,kml_22,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,4430ACC421DBD54E,20200901171417
103.7647916705,1.2976586196491,23,kml_23,,2,No. of Dengue Cases : 2,No. of Dengue Cases : 2,2C3513B23DEF83EE,20200901171417
103.762994383049,1.3048934828644,24,kml_24,,3,No. of Dengue Cases : 3,No. of Dengue Cases : 3,62E13AB2EC94ED30,20200901171417
103.762994433255,1.30308475468865,25,kml_25,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,232E8E56459DD313,20200901171417
103.771979712791,1.31031990490438,26,kml_26,,2,No. of Dengue Cases : 2,No. of Dengue Cases : 2,43ED782128D2E63E,20200901171417
103.771979668755,1.31212863330365,27,kml_27,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,57D7C3119083A878,20200901171417
103.755805737268,1.31393690927424,28,kml_28,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,5D7FAC5EB5A60BFB,20200901171417
103.757602781078,1.31574569254482,29,kml_29,,2,No. of Dengue Cases : 2,No. of Dengue Cases : 2,678ADCDB1BA36C13,20200901171417
103.755805457509,1.3229805476294,30,kml_30,,4,No. of Dengue Cases : 4,No. of Dengue Cases : 4,C3B7B1E2CF4CFBD0,20200901171417
103.694703144138,1.33744765998795,31,kml_31,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,33739FAF47ABD574,20200901171417
103.696500255796,1.33744776147271,32,kml_32,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,A965942D16EAEEB7,20200901171417
103.696500155553,1.33925648532572,33,kml_33,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,E7F9F0D6BF023F3F,20200901171417
103.759399019419,1.34468538917975,34,kml_34,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,9B424F42B90D4BED,20200901171417
103.692905516848,1.34649117479381,35,kml_35,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,BC9E8E6C0BA3086E,20200901171417
103.696499753226,1.34649138046936,36,kml_36,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,77188AC35D8C36CF,20200901171417
103.757601787163,1.3483027884105,37,kml_37,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,F81EAFD4F6ACF51F,20200901171417
103.759398910432,1.34830284399734,38,kml_38,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,BA8F3C406A32F968,20200901171417
103.730644872283,1.35011052037857,39,kml_39,,1,No. of Dengue Cases : 1,No. of Dengue Cases : 1,04D54DF0884F2D0F,20200901171417
